t,x,y,hope,joy,satisfaction,fear
1,2.0,11.0,0.6225,0.0,0.0,0.6225
2,2.1280155,10.977408,0.61875,0.0,0.0,0.61875
3,2.476664,10.802684,0.61625,0.0,0.0,0.61625
4,2.9415288,10.569716,0.6125,0.0,0.0,0.6125
5,3.1739612,10.453233,0.61,0.0,0.0,0.61
6,3.1739612,10.453233,0.60625,0.0,0.0,0.60625
7,2.8797219,10.197288,0.60375,0.0,0.0,0.60375
8,2.5854824,9.941342,0.6,0.0,0.0,0.6
9,2.3889146,9.806788,0.5975,0.0,0.0,0.5975
10,2.2262685,9.684465,0.595,0.0,0.0,0.595
11,2.1799939,9.068942,0.59125,0.0,0.0,0.59125
12,2.1799939,8.550906,0.58875,0.0,0.0,0.58875
13,2.2109218,7.90781,0.75,0.0,0.0,0.58625
14,2.2109218,7.90781,0.74625,0.0,0.0,0.5825
15,2.2109218,7.90781,0.7425,0.0,0.0,0.58
16,2.2109218,7.90781,0.73875,0.0,0.0,0.5775
17,2.2109218,7.6478233,0.735,0.0,0.0,0.57375
18,2.2109218,7.6478233,0.73125,0.0,0.0,0.57125
19,2.2109218,7.6478233,0.7275,0.0,0.0,0.56875
20,2.2109218,7.387836,0.72375,0.0,0.0,0.565
21,2.4141273,7.219159,0.72,0.0,0.0,0.5625
22,2.7973597,7.210929,0.7175,0.0,0.0,0.56
23,3.3147407,7.210929,0.71375,0.0,0.0,0.5575
24,3.5301964,7.210929,0.71,0.0,0.0,0.55375
25,3.5301964,7.210929,0.70625,0.0,0.0,0.55125
26,3.565887,6.822585,0.7025,0.0,0.0,0.54875
27,3.6134744,6.3047934,0.69875,0.0,0.0,0.54625
28,3.6610618,5.787001,0.69625,0.0,0.0,0.54375
29,3.7086492,5.2692094,0.6925,0.0,0.0,0.54125
30,3.7562366,4.7514176,0.68875,0.0,0.0,0.5375
31,3.8157208,4.104178,0.685,0.0,0.0,0.535
32,4.204793,4.077579,0.6825,0.0,0.0,0.5325
33,4.723556,4.0421143,0.67875,0.0,0.0,0.53
34,5.242319,4.0066495,0.675,0.0,0.0,0.5275
35,5.761082,3.971185,0.6725,0.0,0.0,0.525
36,6.2798457,3.9357202,0.66875,0.0,0.0,0.5225
37,6.9282994,3.8913891,0.665,0.0,0.0,0.52
38,7.4470625,3.8559244,0.66125,0.0,0.0,0.51625
39,7.4470625,3.8559244,0.65875,0.0,0.0,0.51375
40,7.4470625,3.8559244,0.655,0.0,0.0,0.51125
41,7.7070494,3.8559244,0.6525,0.0,0.0,0.50875
42,7.697926,3.4660506,0.64875,0.0,0.0,0.50625
43,7.6857615,2.946219,0.645,0.0,0.0,0.50375
44,7.724472,2.822123,0.6425,0.0,0.0,0.50125
45,8.23203,2.9350724,0.63875,0.0,0.0,0.49875
46,8.866478,3.0762594,0.63625,0.0,0.0,0.49625
47,9.500926,3.217446,0.6325,0.0,0.0,0.49375
48,10.135374,3.3586328,0.63,0.0,0.0,0.49125
49,10.769821,3.4998198,0.62625,0.0,0.0,0.48875
50,10.829903,3.5855725,0.62375,0.0,0.0,0.48625
51,10.829903,3.5971467,0.62,0.0,0.0,0.48375
52,10.829904,3.6991405,0.6175,0.0,0.0,0.4825
53,10.829902,3.6376767,0.61375,0.0,0.0,0.48
54,10.829902,3.7118948,0.61125,0.0,0.0,0.4775
55,10.860941,3.8426445,0.6075,0.0,0.0,0.475
56,11.040261,4.009913,0.605,0.0,0.0,0.4725
57,11.339986,4.0200653,0.6025,0.0,0.0,0.47
58,11.720461,4.0200186,0.59875,0.0,0.0,0.4675
59,12.3195915,4.0200186,0.59625,0.0,0.0,0.465
60,12.631788,4.0200186,0.5925,0.0,0.0,0.4625
61,12.71623,4.0158467,0.59,0.0,0.0,0.46125
62,12.212625,4.0200176,0.5875,0.0,0.0,0.45875
63,11.728983,4.0200176,0.58375,0.0,0.0,0.45625
64,12.230278,4.158134,0.58125,0.0,0.0,0.45375
65,12.665578,4.2102437,0.57875,0.0,0.0,0.45125
66,12.825678,4.4274807,0.575,0.0,0.0,0.44875
67,12.820001,5.206987,0.5725,0.0,0.0,0.4475
68,12.820001,5.856831,0.57,0.0,0.0,0.445
69,12.820001,6.506557,0.56625,0.0,0.0,0.4425
70,12.820001,7.155818,0.56375,0.0,0.0,0.44
71,12.820001,7.414765,0.56125,0.0,0.0,0.43875
72,12.820001,7.414765,0.55875,0.0,0.0,0.43625
73,12.820001,7.414765,0.555,0.0,0.0,0.43375
74,13.079988,7.414765,0.5525,0.0,0.0,0.43125
75,13.42359,7.599217,0.55,0.0,0.0,0.43
76,13.99626,7.9066367,0.5475,0.0,0.0,0.4275
77,14.339862,8.091088,0.875,0.0,0.0,0.425
78,14.339862,8.091088,0.87125,0.0,0.0,0.42375
79,14.339862,8.091088,0.86625,0.0,0.0,0.42125
80,14.339862,8.091088,0.8625,0.0,0.0,0.41875
81,14.599849,8.091088,0.8575,0.0,0.0,0.41625
82,14.599849,8.091088,0.85375,0.0,0.0,0.415
83,14.659679,8.206495,0.84875,0.0,0.0,0.4125
84,14.824876,8.424272,0.845,0.0,0.0,0.41125
85,14.820005,8.942627,0.84125,0.0,0.0,0.40875
86,14.820005,9.329791,1.0,0.0,0.0,0.40625
87,14.820005,9.329791,0.995,0.0,0.0,0.405
88,14.820005,9.329791,0.99,0.0,0.0,0.4025
89,14.820005,9.329791,0.985,0.0,0.0,0.4
90,14.820005,9.589778,0.98,0.0,0.0,0.39875
91,14.820005,9.589778,0.975,0.0,0.0,0.39625
92,14.820005,9.589778,0.97,0.0,0.0,0.395
93,14.820005,9.589778,0.965,0.0,0.0,0.3925
94,14.820005,9.849765,0.96125,0.0,0.0,0.39125
95,14.44539,9.958152,0.95625,0.0,0.0,0.38875
96,14.420752,9.911508,0.95125,0.0,0.0,0.38625
97,14.420752,9.911508,0.94625,0.0,0.0,0.385
98,14.420752,9.911508,0.94125,0.0,0.0,0.3825
99,14.680739,9.911508,0.9375,0.0,0.0,0.38125
100,14.680739,9.911508,0.9325,0.0,0.0,0.37875
101,14.305012,10.015977,0.9275,0.0,0.0,0.3775
102,13.804042,10.155269,0.9225,0.0,0.0,0.375
103,13.17783,10.329385,0.91875,0.0,0.0,0.37375
104,13.170097,10.405851,0.91375,0.0,0.0,0.37125
105,13.170097,10.435484,0.90875,0.0,0.0,0.37
106,13.170095,10.343624,0.905,0.0,0.0,0.3675
107,13.170095,10.404638,0.9,0.0,0.0,0.36625
108,13.131561,10.782338,0.89625,0.0,0.0,0.36375
109,12.907854,11.25173,0.89125,0.0,0.0,0.3625
110,12.820052,11.577119,0.8875,0.0,0.0,0.36
111,12.6419325,11.800446,0.8825,0.0,0.0,0.35875
112,12.13851,11.820006,0.8775,0.0,0.0,0.3575
113,11.778425,11.8201,0.87375,0.0,0.0,0.355
